X,Y,OBJECTID,ADDRESS,PHONE,TYPE,WEBSITE,KEY_,LOCATION,APPROVED,CAPACITY,ZIPCODE,FAX,CONTACT,EMERGENCY,SHELTER_PH,FACILITY_I,DIV_BUREAU,INDEXNO,X_COORD,Y_COORD,created_user,created_date,last_edited_user,last_edited_date,COMMENTS,DEPT_OF_MAINT,STRUCTURE_TYPE,STRUCTURE_USE_TYPE,BUILDING_STATUS,STATUS,LUCITY_ID,INTERNET_TYPE,latitude,longitude
12146751.6590555,3495723.50598073,119,6700 E TANNERS CREEK DRIVE,441-5806,NPL FACILITY,https://www.norfolk.gov/6077/Barron-F-Black-Branch,0,BARRON F BLACK BRANCH LIBRARY,N,0,23513," ",N/A," "," ",10,NPL,136,12146757.9999221,3495710.50699098,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,3823,COX - METRO E 20Mb (FIBER),36.90158319836416,-76.22946781168352
12132403.874759,3468774.18750414,120,555 E LIBERTY STREET,441-1968,HISTORICAL," ",0,HORACE C DOWNING BRANCH LIBRARY,N,0,23523," ",N/A," "," ",98,NPL,137,12132419.0158048,3468792.03097239,,,RFRASHE,2022/05/31 19:23:34+00,,FM,BUILDING,LIBRARY,OWNED,HISTORICAL,3970,COX - METRO E 20Mb (FIBER),36.82860592133823,-76.28065719427333
12133563.7786071,3479189.55610906,121,879 E  PRINCESS ANNE ROAD,441-2852,NPL FACILITY,https://www.norfolk.gov/6078/Blyden-Branch,0,BLYDEN BRANCH LIBRARY,N,0,23504," ",N/A," "," ",19,NPL,138,12133566.6841131,3479198.38581581,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,3845,COX - METRO E 20Mb (FIBER),36.85710605575134,-76.27589940828187
12139449.9843544,3479374.02621256,122,1425 NORCHESTER AVENUE,823-4800,NPL FACILITY,https://www.norfolk.gov/6081/Jordan-Newby-Anchor-Branch-at-Broad-Cree,0,JORDAN-NEWBY BRANCH LIBRARY AT BROAD CREEK,N,0,23504," ",N/A," "," ",109,NPL,139,12139449.9843544,3479374.02621256,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,3987,,36.857205948559155,-76.25578195852617
12154350.2488451,3480940.63298748,128,5900 E VIRGINIA BEACH BOULEVARD,441-5660,NPL FACILITY,https://www.norfolk.gov/6080/Janaf-Branch-Library,0,JANAF BRANCH LIBRARY,N,0,23502," ",N/A," "," ",107,NPL,146,12154363.9863505,3480834.22834465,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,3983,COX - METRO E 20Mb (FIBER),36.86023069258527,-76.20470046313572
12129439.1306885,3475311.09569015,129,235 E PLUME STREET,664-7323,NPL FACILITY,https://www.norfolk.gov/6079/Downtown-Branch-at-Slover,0,SLOVER LIBRARY,N,0,23510," ",N/A," "," ",204,NPL,147,12129436.9328582,3475314.47199573,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,4061,,36.84670773116747,-76.2903215780856
12136656.9994548,3490364.00029556,130,1610 CROMWELL DRIVE,441-2842,NPL FACILITY,https://www.norfolk.gov/6082/Lafayette-Branch,0,LAFAYETTE BRANCH LIBRARY,N,0,23509," ",N/A," "," ",112,NPL,148,12136659.6546332,3490361.68238682,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,3994,COX - METRO E 20Mb (FIBER),36.88755810150438,-76.26442716688385
12124920.582639,3495058.69399014,132,6525 HAMPTON BOULEVARD," 441-5335",NPL FACILITY,https://www.norfolk.gov/6083/Larchmont-Branch,0,LARCHMONT BRANCH LIBRARY,N,0,23508," ",N/A," "," ",122,NPL,150,12124930.8719885,3495056.51912573,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,4011,COX - METRO E 20Mb (FIBER),36.90120546624521,-76.30414746478127
12152351.417869,3500883.75025339,133,7853 TARPON PLACE,441-1751,NPL FACILITY,https://www.norfolk.gov/6084/Little-Creek-Branch,0,LITTLE CREEK BRANCH LIBRARY,N,0,23518," ",N/A," "," ",127,NPL,151,12152365.3610826,3500876.54751189,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,4020,COX - METRO E 20Mb (FIBER),36.91539621312871,-76.20986798459775
12139971.0272755,3514237.81081556,141,111 W OCEAN VIEW AVENUE,441-1750,NPL FACILITY,https://www.norfolk.gov/6085/Mary-D-Pretlow-Anchor-Branch,0,MARY D PRETLOW BRANCH LIBRARY,N,0,23503," ",N/A," "," ",136,NPL,159,12139966.0000546,3514242.00011164,,,WTILGHM,2025/02/14 17:25:48+00,,FM,BUILDING,LIBRARY,OWNED,ACTIVE,4040,COX - METRO E 30Mb (FIBER),36.95291379881189,-76.25117977063188
